Name                                                 Type                Forward_MACs    FPercent    Memory      MPercent    Params    PPercent    InShape      OutShape
/segment/S4/S4.0/dwconv1/dwconv1.0/Conv              Conv                57,600          0.04%       26,880      0.25%       960       0.11%       1x16x20x12   1x96x10x6
/segment/S4/S4.0/dwconv2/dwconv2.0/Conv              Conv                57,600          0.04%       26,880      0.25%       960       0.11%       1x96x10x6    1x96x10x6
/segment/S4/S4.0/dwconv2/dwconv2.2/Relu              Relu                5,760           0.00%       23,040      0.21%       0         0.00%       1x96x10x6    1x96x10x6
/segment/S4/S4.0/conv2/conv2.0/Conv                  Conv                186,240         0.14%       20,096      0.18%       3,104     0.35%       1x96x10x6    1x32x10x6
/segment/S4/S4.0/shortcut/shortcut.0/Conv            Conv                9,600           0.01%       4,480       0.04%       160       0.02%       1x16x20x12   1x16x10x6
/segment/S4/S4.0/shortcut/shortcut.2/Conv            Conv                32,640          0.03%       9,856       0.09%       544       0.06%       1x16x10x6    1x32x10x6
/segment/S4/S4.0/Add                                 Add                 1,920           0.00%       7,680       0.07%       0         0.00%       1x32x10x6    1x32x10x6
/segment/S4/S4.0/relu/Relu                           Relu                1,920           0.00%       7,680       0.07%       0         0.00%       1x32x10x6    1x32x10x6
/segment/S4/S4.1/conv1/conv/Conv                     Conv                554,880         0.43%       44,672      0.41%       9,248     1.05%       1x32x10x6    1x32x10x6
/segment/S4/S4.1/conv1/relu/Relu                     Relu                1,920           0.00%       7,680       0.07%       0         0.00%       1x32x10x6    1x32x10x6
/segment/S4/S4.1/dwconv/dwconv.0/Conv                Conv                115,200         0.09%       53,760      0.49%       1,920     0.22%       1x32x10x6    1x192x10x6
/segment/S4/S4.1/dwconv/dwconv.2/Relu                Relu                11,520          0.01%       46,080      0.42%       0         0.00%       1x192x10x6   1x192x10x6
/segment/S4/S4.1/conv2/conv2.0/Conv                  Conv                370,560         0.28%       32,384      0.30%       6,176     0.70%       1x192x10x6   1x32x10x6
/segment/S4/S4.1/Add                                 Add                 1,920           0.00%       7,680       0.07%       0         0.00%       1x32x10x6    1x32x10x6
/segment/S4/S4.1/relu/Relu                           Relu                1,920           0.00%       7,680       0.07%       0         0.00%       1x32x10x6    1x32x10x6
/segment/S5_4/S5_4.0/conv1/conv/Conv                 Conv                554,880         0.43%       44,672      0.41%       9,248     1.05%       1x32x10x6    1x32x10x6
/segment/S5_4/S5_4.0/conv1/relu/Relu                 Relu                1,920           0.00%       7,680       0.07%       0         0.00%       1x32x10x6    1x32x10x6
/segment/S5_4/S5_4.0/dwconv1/dwconv1.0/Conv          Conv                28,800          0.02%       19,200      0.18%       1,920     0.22%       1x32x10x6    1x192x5x3
/segment/S5_4/S5_4.0/dwconv2/dwconv2.0/Conv          Conv                28,800          0.02%       19,200      0.18%       1,920     0.22%       1x192x5x3    1x192x5x3
/segment/S5_4/S5_4.0/dwconv2/dwconv2.2/Relu          Relu                2,880           0.00%       11,520      0.11%       0         0.00%       1x192x5x3    1x192x5x3
/segment/S5_4/S5_4.0/conv2/conv2.0/Conv              Conv                185,280         0.14%       53,248      0.49%       12,352    1.41%       1x192x5x3    1x64x5x3
/segment/S5_4/S5_4.0/shortcut/shortcut.0/Conv        Conv                4,800           0.00%       3,200       0.03%       320       0.04%       1x32x10x6    1x32x5x3
/segment/S5_4/S5_4.0/shortcut/shortcut.2/Conv        Conv                31,680          0.02%       12,288      0.11%       2,112     0.24%       1x32x5x3     1x64x5x3
/segment/S5_4/S5_4.0/Add                             Add                 960             0.00%       3,840       0.04%       0         0.00%       1x64x5x3     1x64x5x3
/segment/S5_4/S5_4.0/relu/Relu                       Relu                960             0.00%       3,840       0.04%       0         0.00%       1x64x5x3     1x64x5x3
/segment/S5_4/S5_4.1/conv1/conv/Conv                 Conv                553,920         0.43%       151,552     1.38%       36,928    4.21%       1x64x5x3     1x64x5x3
/segment/S5_4/S5_4.1/conv1/relu/Relu                 Relu                960             0.00%       3,840       0.04%       0         0.00%       1x64x5x3     1x64x5x3
/segment/S5_4/S5_4.1/dwconv/dwconv.0/Conv            Conv                57,600          0.04%       38,400      0.35%       3,840     0.44%       1x64x5x3     1x384x5x3
/segment/S5_4/S5_4.1/dwconv/dwconv.2/Relu            Relu                5,760           0.00%       23,040      0.21%       0         0.00%       1x384x5x3    1x384x5x3
/segment/S5_4/S5_4.1/conv2/conv2.0/Conv              Conv                369,600         0.28%       102,400     0.94%       24,640    2.81%       1x384x5x3    1x64x5x3
/segment/S5_4/S5_4.1/Add                             Add                 960             0.00%       3,840       0.04%       0         0.00%       1x64x5x3     1x64x5x3
/segment/S5_4/S5_4.1/relu/Relu                       Relu                960             0.00%       3,840       0.04%       0         0.00%       1x64x5x3     1x64x5x3
/segment/S5_4/S5_4.2/conv1/conv/Conv                 Conv                553,920         0.43%       151,552     1.38%       36,928    4.21%       1x64x5x3     1x64x5x3
/segment/S5_4/S5_4.2/conv1/relu/Relu                 Relu                960             0.00%       3,840       0.04%       0         0.00%       1x64x5x3     1x64x5x3
/segment/S5_4/S5_4.2/dwconv/dwconv.0/Conv            Conv                57,600          0.04%       38,400      0.35%       3,840     0.44%       1x64x5x3     1x384x5x3
/segment/S5_4/S5_4.2/dwconv/dwconv.2/Relu            Relu                5,760           0.00%       23,040      0.21%       0         0.00%       1x384x5x3    1x384x5x3
/segment/S5_4/S5_4.2/conv2/conv2.0/Conv              Conv                369,600         0.28%       102,400     0.94%       24,640    2.81%       1x384x5x3    1x64x5x3
/segment/S5_4/S5_4.2/Add                             Add                 960             0.00%       3,840       0.04%       0         0.00%       1x64x5x3     1x64x5x3
/segment/S5_4/S5_4.2/relu/Relu                       Relu                960             0.00%       3,840       0.04%       0         0.00%       1x64x5x3     1x64x5x3
/segment/S5_4/S5_4.3/conv1/conv/Conv                 Conv                553,920         0.43%       151,552     1.38%       36,928    4.21%       1x64x5x3     1x64x5x3
/segment/S5_4/S5_4.3/conv1/relu/Relu                 Relu                960             0.00%       3,840       0.04%       0         0.00%       1x64x5x3     1x64x5x3
/segment/S5_4/S5_4.3/dwconv/dwconv.0/Conv            Conv                57,600          0.04%       38,400      0.35%       3,840     0.44%       1x64x5x3     1x384x5x3
/segment/S5_4/S5_4.3/dwconv/dwconv.2/Relu            Relu                5,760           0.00%       23,040      0.21%       0         0.00%       1x384x5x3    1x384x5x3
/segment/S5_4/S5_4.3/conv2/conv2.0/Conv              Conv                369,600         0.28%       102,400     0.94%       24,640    2.81%       1x384x5x3    1x64x5x3
/segment/S5_4/S5_4.3/Add                             Add                 960             0.00%       3,840       0.04%       0         0.00%       1x64x5x3     1x64x5x3
/segment/S5_4/S5_4.3/relu/Relu                       Relu                960             0.00%       3,840       0.04%       0         0.00%       1x64x5x3     1x64x5x3
/segment/S5_5/ReduceMean                             ReduceMean          960             0.00%       256         0.00%       0         0.00%       1x64x5x3     1x64x1x1
/segment/S5_5/bn/BatchNormalization                  BatchNormalization  1,984           0.00%       1,280       0.01%       256       0.03%       1x64x1x1     1x64x1x1
/segment/S5_5/conv_gap/conv/Conv                     Conv                4,160           0.00%       16,896      0.15%       4,160     0.47%       1x64x1x1     1x64x1x1
